"Index","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",52.470001,53.827499,43.747501,43.767502,2957826400,42.616432
"2",43.900002,50.392502,42.567501,49.48,2060874800,48.364227
"3",50.7925,55.342499,49.602501,53.259998,1895406800,52.05899
"4",53.474998,54.5075,48.145,52.185001,2724326400,51.008236
"5",51.607498,56.605,51.055,55.9925,2170268400,54.937817
"6",56.267502,62.4375,53.782501,62.189999,2433210800,61.018574
"7",62.384998,67,62.290001,66.8125,1793326000,65.553993
"8",66.817497,73.4925,64.072502,73.412498,2388794800,72.245941
"9",74.059998,81.962502,73.1875,77.377502,2934370400,76.147942
"10",76.074997,81.805,64.092499,68.339996,3019279200,67.254044
"11",70.57,76,53.1525,63.572498,6280072400,62.710781
"12",61.625,73.6325,59.224998,73.449997,3265299200,72.454399
"13",71.5625,81.059998,71.462502,79.485001,2805936000,78.407593
"14",79.4375,93.095001,79.302498,91.199997,3243375600,90.207321
"15",91.279999,106.415001,89.144997,106.260002,3020283200,105.103401
"16",108.199997,131,107.892502,129.039993,4070061100,127.635445
"17",132.759995,137.979996,103.099998,115.809998,3885245100,114.755989
"18",117.639999,125.389999,107.720001,108.860001,2894666500,107.869247
"19",109.110001,121.989998,107.32,119.050003,2123077300,117.966499
"20",121.010002,138.789993,120.010002,132.690002,2322189600,131.709198
"21",133.520004,145.089996,126.379997,131.960007,2240262000,130.984604
"22",133.75,137.880005,118.389999,121.260002,1833855600,120.363693
"23",123.75,128.720001,116.209999,122.150002,2650418200,121.428291
"24",123.660004,137.070007,122.489998,131.460007,1889857500,130.683304
"25",132.039993,134.070007,122.25,124.610001,1711934900,123.873756
"26",125.080002,137.410004,123.129997,136.960007,1606590000,136.382065
"27",136.600006,150,135.759995,145.860001,1919035100,145.244492
"28",146.360001,153.490005,144.5,151.830002,1461542800,151.189301
"29",152.830002,157.259995,141.270004,141.5,1797835100,141.113998
"30",141.899994,153.169998,138.270004,149.800003,1565079200,149.391357
"31",148.990005,165.699997,147.479996,165.300003,1691029000,164.849091
"32",167.479996,182.130005,157.800003,177.570007,2444766700,177.344055
"33",177.830002,182.940002,154.699997,174.779999,2108446000,174.557602
"34",174.009995,176.649994,152,165.119995,1627516300,164.909897
"35",164.699997,179.610001,150.100006,174.610001,2180800100,174.610001
"36",174.029999,178.490005,163.570007,165.070007,838004300,165.070007
